Price,Close
Ticker,VOO
Date,
2010-10-01,83.52680969238281
2010-11-01,83.43427276611328
2010-12-01,88.80217742919922
2011-01-01,91.1921615600586
2011-02-01,94.35330200195312
2011-03-01,93.93492889404297
2011-04-01,97.12610626220703
2011-05-01,95.98987579345703
2011-06-01,93.91971588134766
2011-07-01,92.43667602539062
2011-08-01,87.33779907226562
2011-09-01,80.9563980102539
2011-10-01,90.15650177001953
2011-11-01,89.88911437988281
2011-12-01,90.3609619140625
2012-01-01,94.96788787841797
2012-02-01,99.03429412841797
2012-03-01,101.8507080078125
2012-04-01,101.65340423583984
2012-05-01,95.55038452148438
2012-06-01,98.98333740234375
2012-07-01,100.70042419433594
2012-08-01,103.22473907470703
2012-09-01,105.31766510009766
2012-10-01,103.787109375
2012-11-01,104.38134765625
2012-12-01,104.68643188476562
2013-01-01,110.88980102539062
2013-02-01,112.36164093017578
2013-03-01,115.87134552001953
2013-04-01,118.8582763671875
2013-05-01,121.62086486816406
2013-06-01,119.18323516845703
2013-07-01,126.1407470703125
2013-08-01,122.25341796875
2013-09-01,125.76505279541016
2013-10-01,132.04428100585938
2013-11-01,136.00035095214844
2013-12-01,138.83201599121094
2014-01-01,134.6605224609375
2014-02-01,140.80848693847656
2014-03-01,141.4026336669922
2014-04-01,143.07608032226562
2014-05-01,146.35890197753906
2014-06-01,148.74642944335938
2014-07-01,147.35948181152344
2014-08-01,153.21353149414062
2014-09-01,150.38226318359375
2014-10-01,154.72952270507812
2014-11-01,158.9966583251953
2014-12-01,157.63284301757812
2015-01-01,153.10635375976562
2015-02-01,161.6489715576172
2015-03-01,158.3022003173828
2015-04-01,160.7076416015625
2015-05-01,162.7175750732422
2015-06-01,158.8070831298828
2015-07-01,163.02203369140625
2015-08-01,153.01849365234375
2015-09-01,148.45608520507812
2015-10-01,161.85902404785156
2015-11-01,162.54701232910156
2015-12-01,158.77577209472656
2016-01-01,151.87786865234375
2016-02-01,151.56166076660156
2016-03-01,161.11436462402344
2016-04-01,162.54600524902344
2016-05-01,165.39797973632812
2016-06-01,165.10597229003906
2016-07-01,172.0433807373047
2016-08-01,172.25059509277344
2016-09-01,171.53404235839844
2016-10-01,169.21340942382812
2016-11-01,175.5178680419922
2016-12-01,178.0413055419922
2017-01-01,182.34829711914062
2017-02-01,189.41639709472656
2017-03-01,188.7881317138672
2017-04-01,191.6386260986328
2017-05-01,194.3300018310547
2017-06-01,194.67189025878906
2017-07-01,199.5869598388672
2017-08-01,200.16815185546875
2017-09-01,203.2151336669922
2017-10-01,209.00924682617188
2017-11-01,215.40000915527344
2017-12-01,217.1171875
2018-01-01,230.34780883789062
2018-02-01,221.76502990722656
2018-03-01,215.30795288085938
2018-04-01,217.04318237304688
2018-05-01,222.28785705566406
2018-06-01,222.93118286132812
2018-07-01,231.95401000976562
2018-08-01,239.42251586914062
2018-09-01,239.71873474121094
2018-10-01,224.336669921875
2018-11-01,228.565673828125
2018-12-01,207.22219848632812
2019-01-01,224.8440399169922
2019-02-01,232.1511993408203
2019-03-01,235.2970733642578
2019-04-01,246.16705322265625
2019-05-01,230.54055786132812
2019-06-01,245.3830108642578
2019-07-01,250.25962829589844
2019-08-01,246.15406799316406
2019-09-01,249.81979370117188
2019-10-01,256.4875793457031
2019-11-01,265.7876281738281
2019-12-01,272.371337890625
2020-01-01,273.5894470214844
2020-02-01,251.42953491210938
2020-03-01,219.11956787109375
2020-04-01,248.29653930664062
2020-05-01,260.0560302734375
2020-06-01,263.4769592285156
2020-07-01,280.42352294921875
2020-08-01,299.9718322753906
2020-09-01,287.478515625
2020-10-01,281.35626220703125
2020-11-01,312.1551513671875
2020-12-01,322.52459716796875
2021-01-01,320.5361328125
2021-02-01,329.4027404785156
2021-03-01,343.26336669921875
2021-04-01,362.695068359375
2021-05-01,365.11578369140625
2021-06-01,372.103515625
2021-07-01,382.50250244140625
2021-08-01,393.7930603027344
2021-09-01,374.2006530761719
2021-10-01,401.8525390625
2021-11-01,398.9016418457031
2021-12-01,415.56927490234375
2022-01-01,395.23321533203125
2022-02-01,383.4533386230469
2022-03-01,396.64715576171875
2022-04-01,363.02294921875
2022-05-01,363.9623107910156
2022-06-01,332.5201416015625
2022-07-01,364.59698486328125
2022-08-01,349.54302978515625
2022-09-01,315.99884033203125
2022-10-01,343.1532897949219
2022-11-01,362.04388427734375
2022-12-01,339.6632995605469
2023-01-01,362.75775146484375
2023-02-01,353.694580078125
2023-03-01,365.3125305175781
2023-04-01,372.64947509765625
2023-05-01,374.44427490234375
2023-06-01,397.25872802734375
2023-07-01,411.9417724609375
2023-08-01,405.2341003417969
2023-09-01,384.54296875
2023-10-01,377.62530517578125
2023-11-01,412.2551574707031
2023-12-01,429.35870361328125
2024-01-01,438.0596008300781
2024-02-01,460.86962890625
2024-03-01,474.4609069824219
2024-04-01,456.9056091308594
2024-05-01,479.8682556152344
2024-06-01,495.2261657714844
2024-07-01,502.7494201660156
2024-08-01,514.7832641601562
2024-09-01,524.3527221679688
2024-10-01,521.0023803710938
2024-11-01,551.6842041015625
2024-12-01,537.0908813476562
